Event	ID	Name			Wwise Object Path	Notes
	831679224	Play_SFX_Pea_Spawn			\Default Work Unit\SFX_Enemy_Pea\Play_SFX_Pea_Spawn	
	1246702048	Play_SFX_Pea_Footsteps			\Default Work Unit\SFX_Enemy_Pea\Play_SFX_Pea_Footsteps	
	2393289231	Play_SFX_Pea_Death			\Default Work Unit\SFX_Enemy_Pea\Play_SFX_Pea_Death	

State Group	ID	Name			Wwise Object Path	Notes
	2181612614	InFight			\Default Work Unit\InFight	

State	ID	Name	State Group			Notes
	748895195	None	InFight			
	2181612614	InFight	InFight			
	2218077717	NotInFight	InFight			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	26913529	Throw_v2-003	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Linux\SFX\Throw_v2-003_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Pea\RC_Pea_Spawn\Throw_v2-003		6769
	154912847	Cook'n'Rogue_Pea_Jump_02	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Linux\SFX\Cook'n'Rogue_Pea_Jump_02_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Pea\RC_Pea_Footsteps\Cook'n'Rogue_Pea_Jump_02		3137
	305897649	Throw_v2-002	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Linux\SFX\Throw_v2-002_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Pea\RC_Pea_Spawn\Throw_v2-002		5569
	334568147	Cook'n'Rogue_Pea_Jump_07	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Linux\SFX\Cook'n'Rogue_Pea_Jump_07_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Pea\RC_Pea_Footsteps\Cook'n'Rogue_Pea_Jump_07		2786
	348033780	Cook'n'Rogue_Pea_Jump_10	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Linux\SFX\Cook'n'Rogue_Pea_Jump_10_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Pea\RC_Pea_Footsteps\Cook'n'Rogue_Pea_Jump_10		3112
	358690741	Cook'n'Rogue_Pea_Jump_06	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Linux\SFX\Cook'n'Rogue_Pea_Jump_06_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Pea\RC_Pea_Footsteps\Cook'n'Rogue_Pea_Jump_06		2469
	411336006	SFX_Pea_Pod_Hit_V1-002	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Linux\SFX\SFX_Pea_Pod_Hit_V1-002_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Pea\RC_Pea_Death\SFX_Pea_Pod_Hit_V1-002		6673
	511522553	Cook'n'Rogue_Pea_Jump_04	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Linux\SFX\Cook'n'Rogue_Pea_Jump_04_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Pea\RC_Pea_Footsteps\Cook'n'Rogue_Pea_Jump_04		2601
	532931488	Cook'n'Rogue_Pea_Jump_09	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Linux\SFX\Cook'n'Rogue_Pea_Jump_09_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Pea\RC_Pea_Footsteps\Cook'n'Rogue_Pea_Jump_09		3097
	581731344	Cook'n'Rogue_Pea_Jump_05	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Linux\SFX\Cook'n'Rogue_Pea_Jump_05_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Pea\RC_Pea_Footsteps\Cook'n'Rogue_Pea_Jump_05		2467
